a	A		sumti or		logical connective: sumti afterthought or
tadji			method		x1 [process] is a method/technique/approach/means for doing x2 (event) under conditions x3	[also practice/way/mode; style/manner/conduct (= tratadji); pattern (= montadji, tadjymo'a, or platadji, tadjypla)]; (cf. ciste, pruce, zukte, pluta, cmavo list tai)
tadni		tad	study		x1 studies/is a student of x2; x1 is a scholar; (adjective:) x1 is scholarly	(cf. ckule, cilre, ctuca)
tagji		tag	snug	'tight'	x1 is snug/tight on x2 in dimension/direction x3 at locus x4	(cf. trati, jarki, kluza, rinju)
tai	BAI		in form		tamsmi modal, 1st place (like)/(in manner 2)      resembling ...; sharing ideal form ...	(x1 resembles x2 sharing ideal form/shape x3 in property x4)
talsa		tal	challenge		x1 (person) challenges x2 at/in property x3	(cf. jinga, damba, darlu, jivna, nandu for a challenging event/situation)
tamca			tomato		x1 is a tomato [fruit/vegetable/plant] of species/strain x2	(cf. grute, stagi)
tamji		taj	thumb		x1 is a/the thumb/big toe [body-part] on limb x2 of x3; [metaphor based on relative shape]	[thumb (specifically the hand = xantamji), big toe (= jmatamji)]; (cf. degji, tance, xance, jamfu)
tamne			cousin		x1 is cousin to x2 by bond/tie x3; [non-immediate family member, default same generation]	[probably preferred for metaphorical siblings (over bruna)] (cf. dzena, famti, mensi, bruna, tunba)
tanbo		ta'o	board		x1 is a board/plank [3-dimensional long flat rectangle] of material x2	(cf. bliku, kubli)
tance		tac	tongue		x1 is a/the tongue [body-part] of x2; (metaphor: similar to nazbi, tamji, degji)	[(adjective:) x1 is lingual]; (cf. moklu, bangu, nazbi, tamji, degji)
tanjo			tangent		x1 is the trigonometric tangent of angle/arctangent x2	(cf. sinso)
tanko			tobacco		x1 is a quantity of tobacco [leaf] of species/strain x2	(cf. sigja, marna)
tanru		tau	phrase compound		x1 is a binary metaphor formed with x2 modifying x3, giving meaning x4 in usage/instance x5	(x2 and x3 are both text or both si'o concept) (cf. gismu, smuni)
tansi		tas	pan		x1 is a pan/basin/tub/sink, a shallow container for contents x2, of material/properties x3	[also bowl]; (cf. baktu, palne, palta, patxu, kabri for a bowl that is normally lifted for use, botpi)
tanxe		tax ta'e	box	'trunk'	x1 is a box/carton/trunk/crate for contents x2, and made of material x3	(cf. bakfu, botpi, cutne, dacru)
tapla			tile		x1 is a tile/cake [shape/form] of material x2, shape x3, thickness x4	[a tile is a 3-dimensional object, relatively uniform and significant in the 3rd dimension, but thin enough that its shape in the the other two dimensions is a significant feature; 'city block' is conceptually a tile; polygon (= taplytai or kardytai - shaped like an approximately-2-dimensional block, lijyclupa - a loop composed of lines)]; (cf. bliku, kubli, matci; karda, for which the 3rd dimension is insignificant, bliku, kurfa, matci, plita, tarmi)
tarbi			embryo		x1 is an embryo/zygote/fetus/fertilized egg with mother x2, and father x3	(cf. gutra, mamta, patfu, sovda, rorci, tsiju, grute)
tarci		tar	star		x1 is a star/sun with stellar properties x2	(cf. solri, tsani)
tarla			tar		x1 is a quantity of/contains/is made of tar/asphalt from source x2	(cf. kolme, pesxu, snipa)
tarmi		tam tai	shape	'form'	x1 [ideal] is the conceptual shape/form of object/abstraction/manifestation x2 (object/abstract)	[also pattern; x1 is the mathematical or theoretical ideal form, while x2 is an object/event manifesting that form; e.g. circular/circle-shaped (= cukseltai) vs. circle (=cuktai, while cukla alone is ambiguous); model (= ci'ersaptai, saptai, ci'ersmitai, smitai)]; (cf. nejni, morna; te marji for physical shape, tapla, bliku, kubli, kurfa, cukla, mapti, morna, sarlu)
tarti		tra	behave		x1 behaves/conducts oneself as/in-manner x2 (event/property) under conditions x3	[also (adjective:) x1 is behavioral]; (cf. cnano, frati, tcaci, cilce, jikca, marde)
taske			thirst		x1 thirsts for x2; x1 needs/wants drink/fluid/lubrication x2	(cf. nitcu, djica, xagji, pinxe)
tatpi		ta'i	tired		x1 is tired/fatigued by effort/situation x2 (event); x1 needs/wants rest	(cf. cikna, sipna, surla)
tatru		tat	breast	'teat'	x1 is a/the breast/mammary/teat [body-part] of x2; [metaphor: projection providing liquid]	[nipple (= tatyji'o)]; (cf. ladru, mabru)
tau	LAU		shift next lerfu		2-word letteral/shift: change case for next letteral only
tavla		tav ta'a	talk	'palaver'	x1 talks/speaks to x2 about subject x3 in language x4	[not limited to vocal speech, but this is implied by the x4 without context of some other medium of conversation (use cusku, casnu, skicu, ciksi for weaker implication of vocal communication); converse/discuss/chat (= simta'a, simsku, vricysimta'a for a conversation not clearly delimited by subject)]; (cf. bacru, cusku for actual expression, casnu, darlu, skicu, ciksi, bangu)
taxfu		taf ta'u	garment		x1 is dress/a garment/clothing for wearing by x2 (gender/species/body part) serving purpose x3	[also: x2 can wear/is wearing x1; refers to something intended for use as a garment, not merely something that happens to be worn at some time (which need not be true for dasni)]; (cf. creka, cutci, daski, dasni, gluta, kosta, mapku, palku, pastu, skaci, smoka, lunbe)
tcaci		cac	custom	'habit'	x1 is a custom/habit/[ritual/rut] of x2 under conditions x3	[also: x1 is customary/usual/the practice]; (cf. fadni, kampu, lakne, jinzi, ckaji, cnano, tarti, ritli, javni, zekri)
tcadu		tca	city	'town'	x1 is a town/city of metropolitan area x2, in political unit x3, serving hinterland/region x4	[also (adjective:) x1 is urban]; (cf. jarbu, nurma, cecmu, jarbu)
tcana			station		x1 is a station/node of/in/on transport/communication/distribution system/network x2	[x2 may be represented by massed vehicles of system]; (cf. dargu, litru, pluta, trene, ciste, ve mrilu, tivni, cradi, ve benji, fonxa, dikca, fatri)
tcati			tea		x1 is made of/contains/is a quantity of tea brewed from leaves x2	(cf. ckafi)
tcena		ten	stretch		x1 stretches/extends to range x2 [interval/extent] in dimension x3 from relaxed range x4	(cf. kuspe, pruni, preja, ranji, trati)
tcica		tic	deceive	'cheat, trick'	x1 (event/experience) misleads/deceives/dupes/fools/cheats/tricks x2 into x3 (event/state)	[agentive deception (= ticygau, ticyzu'e); x3 could be an action or a belief on the part of x2; harmful intent or result is not implied (= malticyzu'e for such harmful intent); self deception (= sezytcica); deceive/trick into misguided action (= ticyxlu); misguided belief (= tickri); fib/lie/tell an untruth/lie/fib (= ticysku, jifsku), white lie (= zanticysku)]; (cf. stace, xlura, stidi, kajde)
tcidu		tid	read		x1 [agent] reads x2 [text] from surface/document/reading material x3; x1 is a reader	(cf. ciska, cukta, karni)
tcika			time of day		x1 [hours, {minutes}, {seconds}] is the time/hour of state/event x2 on day x3 at location x4	[also o'clock, time-of-day]; (time units in x1 are specified as numbers separated by pi'e or are unit values massified with joi); (cf. cmavo list ti'u, cacra, cerni, detri, donri, djedi, junla, nicte, mentu, snidu, temci, vanci, dirba, mokca)
tcila		til	detail		x1 is a detail/feature/particular of x2	(cf. diklo, steci)
tcima		tim ti'a	weather	'climate'	x1 is weather at place/region x2; (adjective:) x1 is meteorological	[climate (= citsyti'a, timymo'a)]; (cf. brife, bumru, carvi, dilnu, bratu)
tcini			situation	'state'	x1 [state/property] is a situation/condition/state/position/are conditions/circumstances of x2	[characteristics or environment of an object/event/process stage or state that are typically/potentially only temporary]; (cf. stuzi, zvati, vanbi, ve pruce, ckaji, zasni)
tcita			label	'tag'	x1 is a label/tag of x2 showing information x3	(cf. sinxa, cmene, judri)
te	SE	ter	3rd conversion		3rd conversion; switch 1st/3rd places
te'a	VUhU2		to the power		binary mathematical operator: to the power; exponential; [a to the b power]
te'e	FAhA3		bordering		location tense relation/direction; edged by/edging up to ...
te'o	PA5		exponential e		digit/number: exponential e (approx 2.71828...)
te'u	TEhU		end mex converters		elidable terminator: end conversion between non-mex and mex; usually elidable
tebau	BAI*		expressing		bangu modal, 3rd place (expression)               language expressing ...
tebe'i	BAI*		sent to		benji modal, 3rd place (source)                   sent to receiver ...
teca'i	BAI*		basis for authority		catni modal, 3rd place                            authoritatively; with basis of authority ...
teci'e	BAI*		of system components		ciste modal, 3rd place                            of system components ...
teci'o	BAI*		emoting about		cinmo modal, 3rd place (attitude about)           emotionally; emoting about ...
tecu'u	BAI*		as told to		cusku modal, 3rd place (3rd party hearsay)        as told to ...
tede'i	BAI*		on date at location		detri modal, 3rd place                            on a date measured at location ...
tedi'o	BAI*		at locus within range		diklo modal, 3rd place                            locally; at specific locus within range ...
tedu'i	BAI*		equal in property		dunli modal, 3rd place                            equally; equal in property ...
tedu'o	BAI*		knowing about		djuno modal, 3rd place                            knowingly; knowing about ...
tefi'e	BAI*		created for purpose		finti modal, 3rd place                            creatively; created for purpose ...
tega'a	BAI*		observed by means		zgana modal, 3rd place                            observed by means ...
tei	TEI		composite lerfu		composite letteral follows; used for muti-character letterals
teja'i	BAI*		by rule within		javni modal, 3rd place                            orderly; by rule within system ...
teji'e	BAI*		limited in property		jimte modal, 3rd place                            limitedly; limited in property/domain ...
teji'o	BAI*		controlling event		jitro modal, 3rd place                            controlledly; controlling event ...
teka'a	BAI*		with origin		klama modal, 3rd place                            with origin ...
teka'i	BAI*		representing in		krati modal, 2nd place                            representingly; representing in matter...
teki'i	BAI*		with relation		ckini modal, 3rd place                            with relation ...
tekoi	BAI*		bordering		korbi modal, 3rd place (bounding)                 bordering ...
tela'u	BAI*		measured on scale		klani modal, 3rd place                            quantity measured on scale ...
tele'a	BAI*		defined by quality		klesi modal, 3rd place (category)                 defined by quality ...
teli'e	BAI*		ordered in sequence		lidne modal, 3rd place                            ordered within sequence ...; non-time sequence
tema'e	BAI*		in material form		marji modal, 3rd place                            in material form ...
tema'i	BAI*		rules of standard		manri modal, 3rd place (of reference)             observed/measured with/by rules ...
temau	BAI*		more in property		zmadu modal, 3rd place (relative!)                more than/exceeding in property ...
temci		tem tei	time		x1 is the time-duration/interval/period/[elapsed time] from time/event x2 to time/event x3	[also age/elapsed time (= niltei)]; (cf. cacra, cedra, citsi, ranji, tcika, junla, renvi)
teme'a	BAI*		less in property		mleca modal, 3rd place (relative!)                less than in property ...
teme'e	BAI*		as a name used by		cmene modal, 3rd place                            as a name used by ...
temu'i	BAI*		motive of person		mukti modal, 3rd place                            motivated/motivating per the volition of ...
temu'u	BAI*		example out oof set		mupli modal, 3rd place                            as an example out of the set of ...
tenfa		tef	exponential		x1 is the exponential result of base x2 to power/exponent x3	(cf. dugri)
tengu		teg te'u	texture		x1 (property-ka) is a texture of x2	(cf. rufsu, xutla)
teni'i	BAI*		under logic system		nibli modal, 3rd place                            entailment under logic system ...
tepa'a	BAI*		contrasting property		panra modal, 3rd place (property)                 contrastingly; contrasting in property ...
tepi'o	BAI*		usage for purpose		pilno modal, 3rd place (instrumental)             a tool usage for purpose ...
tepo'i	BAI*		ordering items		porsi modal, 3rd place                            sequentially; as an order on set of items ...
tepu'a	BAI*		pleasing conditions		pluka modal, 3rd place                          pleasingly; being pleasing under conditions ...
tepu'e	BAI*		processing into		pruce modal, 3rd place (outputs)                  processing into outputs ...
terai	BAI*		at extreme		traji modal, 3rd place (superlative)              -est; most extremely; at extreme ...
terdi		ted	earth	'terrestrial'	x1 is the Earth/the home planet of race x2; (adjective:) x1 is terrestrial/earthbound	(cf. lunra, plini, solri, kensa, tsani; dertu for ground, dirt, except when used to express physical relative frame of reference [e.g. on the ground, the ground beneath us], tsani)
teri'a	BAI*		causal conditions		rinka modal, 2nd place (phys./mental)             causally under conditions ...
terpa		tep te'a	fear	'terror'	x1 fears x2; x1 is afraid/scared/frightened by/fearful of x2 (event/tu'a object)	[also: x1 feels terror about x2; x2 is fearsome/fearful/frightening/scary to x1 (= selte'a to reorder places)]; (cf. snura, xalni, xanka, virnu)
terto		tet	1E12	metric 'tera'	x1 is a trillion [1x10**12] of x2 in dimension/aspect x3 (default is units)	(cf. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, milti, nanvi, petso, picti, xatsi, xecto, xexso, zepti, zetro)
tesau	BAI*		necessarily under		sarcu modal, 3rd place (conditions 2)             necessarily; necessarily under ...
tesi'u	BAI*		assisting in		sidju modal, 3rd place                            assisting in doing/maintaining/achieving ...
teta'i	BAI*		method conditions		tadji modal, 3rd place                       methodically doing (something) under conditions ...
tetai	BAI*		sharing ideal form		tamsmi modal, 3rd place                           similarly; sharing common ideal form ...	(x1 resembles x2 sharing ideal form/shape x3 in property x4)
teti'i	BAI*		suggested to		stidi modal, 3rd place                            suggestively; suggested to ...
teti'u	BAI*		time on day		tcika modal, 3rd place (for letters)              as a time on day ...
teva'u	BAI*		goodness standard		xamgu modal, 3rd place                            good/beneficial by standard ...
tezu'e	BAI*		with goal		zukte modal, 3rd place                            purposefully; (as an action) with goal ...
ti	KOhA6	tif	this here		pro-sumti: this here; immediate demonstrative it; indicated thing/place near speaker
ti'a	FAhA2		behind		location tense relation/direction; rearwards/to the rear of ...
ti'e	UI2		I hear		evidential: I hear (hearsay)	(cf. tirna, sitna, tcidu)
